i x y side frame field experiment
77 1018 1027 dx 1 0 .
78 1001 1034 dx 1 0 .
79 1009 1048 dx 1 0 .
80 1023 1039 dx 1 0 .
81 1033 1023 dx 1 0 .
82 1037 1042 dx 1 0 .
83 1025 1050 dx 1 0 .
84 1019 1069 dx 1 0 .
85 1009 1085 dx 1 0 .
86 984 1084 dx 1 0 .
87 969 1093 dx 1 0 .
88 963 1112 dx 1 0 .
89 946 1120 dx 1 0 .
90 925 1123 dx 1 0 .
91 907 1132 dx 1 0 .
92 886 1135 dx 1 0 .
93 876 1152 dx 1 0 .
94 887 1147 dx 1 0 .
95 908 1144 dx 1 0 .
96 930 1141 dx 1 0 .
97 941 1154 dx 1 0 .
98 947 1174 dx 1 0 .
99 942 1194 dx 1 0 .
0 620 10 sx 1 0 .
1 614 22 sx 1 0 .
2 603 34 sx 1 0 .
3 586 35 sx 1 0 .
4 578 49 sx 1 0 .
5 583 64 sx 1 0 .
6 593 78 sx 1 0 .
7 602 91 sx 1 0 .
8 613 101 sx 1 0 .
9 624 114 sx 1 0 .
10 622 133 sx 1 0 .
11 629 148 sx 1 0 .
12 621 162 sx 1 0 .
13 609 170 sx 1 0 .
14 593 174 sx 1 0 .
15 590 193 sx 1 0 .
16 601 205 sx 1 0 .
17 603 221 sx 1 0 .
18 611 235 sx 1 0 .
19 604 251 sx 1 0 .
20 602 267 sx 1 0 .
21 614 276 sx 1 0 .
22 607 290 sx 1 0 .
23 606 307 sx 1 0 .
24 600 320 sx 1 0 .
25 594 335 sx 1 0 .
26 583 349 sx 1 0 .
27 588 365 sx 1 0 .
28 582 381 sx 1 0 .
29 579 398 sx 1 0 .
30 575 414 sx 1 0 .
31 576 431 sx 1 0 .
32 570 448 sx 1 0 .
33 578 463 sx 1 0 .
34 582 477 sx 1 0 .
35 587 493 sx 1 0 .
36 577 485 sx 1 0 .
37 561 478 sx 1 0 .
38 548 486 sx 1 0 .
39 546 504 sx 1 0 .
40 561 510 sx 1 0 .
41 576 515 sx 1 0 .
42 592 511 sx 1 0 .
43 592 494 sx 1 0 .
44 598 506 sx 1 0 .
45 596 523 sx 1 0 .
46 595 540 sx 1 0 .
47 593 555 sx 1 0 .
48 583 565 sx 1 0 .
49 571 573 sx 1 0 .
50 566 586 sx 1 0 .
51 562 604 sx 1 0 .
52 574 613 sx 1 0 .
53 573 629 sx 1 0 .
54 571 646 sx 1 0 .
55 569 663 sx 1 0 .
56 563 678 sx 1 0 .
57 557 693 sx 1 0 .
58 556 710 sx 1 0 .
59 569 716 sx 1 0 .
60 578 726 sx 1 0 .
61 576 738 sx 1 0 .
62 579 756 sx 1 0 .
63 576 773 sx 1 0 .
64 570 789 sx 1 0 .
65 580 803 sx 1 0 .
66 597 797 sx 1 0 .
67 610 806 sx 1 0 .
68 626 808 sx 1 0 .
69 640 814 sx 1 0 .
70 652 825 sx 1 0 .
71 651 842 sx 1 0 .
72 637 849 sx 1 0 .
73 620 850 sx 1 0 .
74 612 865 sx 1 0 .
75 601 877 sx 1 0 .
76 585 876 sx 1 0 .
77 571 868 sx 1 0 .
78 557 875 sx 1 0 .
79 549 890 sx 1 0 .
80 551 909 sx 1 0 .
81 553 923 sx 1 0 .
82 546 936 sx 1 0 .
83 546 953 sx 1 0 .
84 543 970 sx 1 0 .
85 537 986 sx 1 0 .
86 543 1003 sx 1 0 .
87 538 1020 sx 1 0 .
88 533 1034 sx 1 0 .
89 531 1051 sx 1 0 .
90 532 1069 sx 1 0 .
91 529 1085 sx 1 0 .
92 525 1102 sx 1 0 .
93 524 1119 sx 1 0 .
94 536 1129 sx 1 0 .
95 551 1132 sx 1 0 .
96 552 1146 sx 1 0 .
97 550 1161 sx 1 0 .
98 549 1177 sx 1 0 .
99 552 1195 sx 1 0 .
0 1050 7 dx 2 0 .
1 1045 26 dx 2 0 .
2 1033 40 dx 2 0 .
3 1024 61 dx 2 0 .
4 1036 79 dx 2 0 .
5 1031 101 dx 2 0 .
6 1032 123 dx 2 0 .
7 1036 144 dx 2 0 .
8 1025 160 dx 2 0 .
9 1013 174 dx 2 0 .
10 1005 194 dx 2 0 .
11 1010 215 dx 2 0 .
12 1009 237 dx 2 0 .
13 1021 250 dx 2 0 .
14 1012 266 dx 2 0 .
15 993 269 dx 2 0 .
16 986 286 dx 2 0 .
17 987 309 dx 2 0 .
18 978 329 dx 2 0 .
19 987 349 dx 2 0 .
20 980 375 dx 2 0 .
21 988 394 dx 2 0 .
22 982 415 dx 2 0 .
23 961 419 dx 2 0 .
24 939 423 dx 2 0 .
25 919 415 dx 2 0 .
26 902 426 dx 2 0 .
27 906 447 dx 2 0 .
28 923 457 dx 2 0 .
29 941 463 dx 2 0 .
30 933 483 dx 2 0 .
31 947 495 dx 2 0 .
32 962 503 dx 2 0 .
33 968 521 dx 2 0 .
